Sekce,Položka,Cena Kč,Prodej Solnice ks/měs,Poznámka
Úklid,Houbičky na nádobí 5 ks,25,doplnit,
Úklid,Hadr podlahový,32,4,
Úklid,Osvěžovač vzduchu,29,9,
Úklid,Solvina / Praganda (mycí pasta na ruce),20,15,typicky DIY
Úklid,WC blok,39,5,
Úklid,Lopatka + smetáček,49,6,
Úklid,Zamražovací / svačinové sáčky,39,4,
Hygiena,Toaletní papír Jumbo / 8 rolí,39,30,
Hygiena,Papírové ručníky ZZ,45,15,
Hygiena,Kapesníky krabička 150 ks,38,3,
Hygiena,Kuchyňské utěrky 2 role,39,doplnit,
Hubení škůdců,Pastička na myši dřevo / kov,16,12,
Hubení škůdců,Nástraha na myši Ratimor 150 g,42,8,balení pro veřejnost
Hubení škůdců,Lepová deska na myši,35,3,
Hubení škůdců,Mucholapka,7,4,
Hubení škůdců,Feroset – lapač moučných molů,16,8,
Hubení škůdců,Sprej na vosy / hmyz (Biolit),119,doplnit,léto
Hubení škůdců,Proti mravencům (Bioformatox),109,2,
Topení a zapalování,Pepo pevný podpalovač 40 ks,35,29,celoročně
Topení a zapalování,Tekutý podpalovač 1 l,96,3,
Topení a zapalování,Zapalovač kuchyňský dlouhý,37,3,
Topení a zapalování,Zapalovače turbo (2 ks),15,4,
Topení a zapalování,Zápalky (balení 10 krabiček),25,2,
Topení a zapalování,"Dřevěné uhlí 2,5 kg",112,3,sezónně
Svíčky,Hřbitovní patrona 120 g a 180 g,28,18,
Svíčky,"Svíčka Theresia 4,5 dne",47,3,
Svíčky,Iluminační svíčky 10 ks,59,3,
Svíčky,Čajové svíčky 30 ks,49,doplnit,
Domácnost,Skřipce záclonové,6,22,
Domácnost,Háčky samolepicí,30,5,
Domácnost,Věšák nástěnný chrom,62,10,
Domácnost,Kolíčky na prádlo 24 ks,39,doplnit,
Domácnost,Prádelní šňůra 20 m,49,doplnit,
Domácnost,Provázek / polypropylenové lano 20 m,59,doplnit,
Domácnost,Kroužky na klíče + rozlišovače,4,46,u pokladny
Domácnost,Visací zámek 30 / 40 mm,129,doplnit,
Domácnost,Magnety 10 ks,50,3,
Sezónní stojan (rotace),Semena zeleniny a květin (stojan),25,153,"únor–květen, marže 40–100 %"
Sezónní stojan (rotace),"Barvy na vejce, obtisky",12,15,březen–duben
Sezónní stojan (rotace),"Zavařovací víčka Twist, špejle, střeva",40,15,červenec–říjen
Sezónní stojan (rotace),"Posypová sůl 5 kg, škrabka na led",79,doplnit,listopad–únor
