Produktová skupina,SKU_celkem,SKU_aktivní,ks_2025,ks_2024,obrat_2025,obrat_2024,zisk_2025,ks_měsíc_prům,podíl_ks_%,obrat_měsíc_prům,podíl_obrat_%,marže_%,prům_cena_Kč,vhodnost_24/7,komentář
"Podpalovače, topení, zapalování",45,24,57.0,73.0,2696.9199,3859.5103,895.6399,65.0,1.1,3278.0,0.7,33.0,50.0,4,"Pepo, zapalovače, zápalky, dřevěné uhlí. Silně sezónní (podzim–zima + grilování), v malých městech s lokálním topením velmi žádané."
Svíčky a hřbitovní zboží,114,21,42.0,41.0,1363.6203,1940.1399999999999,498.1603,42.0,0.7,1652.0,0.3,37.0,39.0,4,"Hřbitovní patrony 25–50 Kč, iluminační svíčky. V malých městech stálá poptávka, špičky před Dušičkami a svátky. Neomezená trvanlivost."
"Nátěrové hmoty (barvy, laky, lazury)",1003,284,293.0,380.0,104120.3503,140448.0006,38518.9303,336.0,5.8,122284.0,24.4,37.0,364.0,3,"Největší obrat prodejny (24 %). Tónované báze bez obsluhy nejdou, hotová bílá v pevných baleních ano: Het Klasik 15+3 kg je nejsilnější položka do 1 000 Kč (8,2 tis. Kč/měs)."
Kabely a vodiče,583,39,229.0,371.0,8556.1007,11444.5522,3352.0207,300.0,5.2,10000.0,2.0,39.0,33.0,3,"V datech se prodává na metry (nutná obsluha). Pro bezobslužný prodej předbalit 5 m / 10 m návin CYKY, CYSY a dvojlinky."
Ředidla a technická chemie,218,98,187.0,193.0,20168.56,20876.63,8967.99,190.0,3.3,20523.0,4.1,44.0,108.0,3,"Ředidla 0,7 l a líh se prodávají dobře, ale jde o hořlaviny – nutné posoudit požární předpisy prostoru. Technický benzín (spotřební daň) a kyseliny vynechat."
"Domácnost (šňůry, kolíčky, věšáky, garnýže)",399,83,163.0,112.0,7615.3281,4782.6206999999995,2736.0081,138.0,2.4,6199.0,1.2,36.0,45.0,3,"Skřipce, háčky, věšáky, kolíčky, šňůry. Doplněk, pomalejší obrátka."
Ruční nářadí a měřidla,314,108,108.0,142.0,12130.08,14476.16,4733.29,125.0,2.2,13303.0,2.7,39.0,106.0,3,"Jen základ: svinovací metr, odlamovací nůž + čepelky, šroubovák, kartáč. Dražší nářadí = riziko krádeže."
Hygiena a papírové zboží,108,49,108.0,94.0,3188.7601,3487.0694,980.1901,101.0,1.7,3338.0,0.7,31.0,33.0,3,"Toaletní papír, ručníky, kapesníky. Nouzová potřeba 24/7, ale objemné a nízká marže (31 %). Držet 3–5 položek."
"Klíče, zámky, kroužky",59,14,91.0,94.0,582.4802,427.4396,260.1802,92.0,1.6,505.0,0.1,45.0,5.0,3,"Kroužky a rozlišovače za 3–10 Kč – zanedbatelný obrat, ale zvyšují počet položek v košíku. Klíče se nedají bez obsluhy vyrábět."
Papírnictví a psací potřeby,86,43,60.0,103.0,2045.8701,4490.4702,744.1301,82.0,1.4,3268.0,0.7,36.0,40.0,3,"Popisovače, lepicí tyčinky, sáčky. Doplňkový sortiment, nízká cena, zabere málo místa."
Spojovací materiál,39,16,66.0,68.0,2132.21,2361.9700000000003,758.26,67.0,1.2,2247.0,0.4,36.0,34.0,3,"V datech kusový prodej za 0,3–0,4 Kč – bez obsluhy nefunguje. Nabídnout v blistrech/sáčcích (šrouby, hmoždinky, vruty – sady)."
Stavební chemie a sádra,131,48,61.0,73.0,8099.9304,12933.1401,3071.6204000000002,67.0,1.2,10517.0,2.1,38.0,157.0,3,"Pytle 25 kg se bezobslužně prodávají dobře: špatně se kradou a zvedají košík. Patří na paletu u vstupu. Lepidlo na dlažbu, cement, sloupkobeton, omítka."
Velikonoční a sezónní zboží,79,21,13.0,70.0,203.8,975.43,75.77,42.0,0.7,590.0,0.1,37.0,14.0,3,"Sezónní stojan (barvy na vejce, obtisky). Střídat se semeny a vánočním zbožím."
Domácí zavařování a uzení,54,14,29.0,26.0,885.66,775.23,305.13,28.0,0.5,830.0,0.2,34.0,30.0,3,"Víčka, špejle, střeva – sezónní (léto/podzim), malé rozměry."
Úklid a čisticí prostředky,903,268,313.0,315.0,19826.9998,22458.9701,7110.5898,314.0,5.4,21143.0,4.2,36.0,67.0,2,"Savo, Domestos, pytle, houbičky. Konkuruje každý supermarket, nejnižší marže ze všech skupin (36 %) a objemné. Ze základu vyřazeno rozhodnutím majitele."
Osobní kosmetika,327,97,71.0,63.0,6209.3099999999995,6287.55,1841.56,67.0,1.2,6248.0,1.2,32.0,93.0,2,"V hobbymarketu se prodává málo (67 ks/měs), silná konkurence supermarketů. Jen dezinfekce, náplasti."
Autodoplňky,41,10,5.0,8.0,477.68,659.5,144.78,6.0,0.1,569.0,0.1,30.0,95.0,2,Minimální prodej v datech; nemrznoucí směs a destilovaná voda jako doplněk.
Krmiva a chovatelské potřeby,14,6,1.0,8.0,52.07,513.5299,18.98,4.0,0.1,283.0,0.1,36.0,71.0,2,Zanedbatelný prodej v datech (nesledovaný sortiment prodejny 1).
Pyrotechnika,45,1,0.0,1.0,0.0,40.5,0.0,0.0,0.0,20.0,0.0,,,1,"Zákon č. 206/2015 Sb. – prodej jen osobám nad 18/21 let s ověřením, bez obsluhy nelze."
Zahradní technika a příslušenství,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,"Bez prodejů, drahé, potřebuje obsluhu."
Nezařazeno,3238,713,607.0,609.0,84204.7401,110289.1303,28913.4601,608.0,10.5,97247.0,19.4,34.0,160.0,0,"Dlouhý chvost (688 aktivních položek), ručně projít."
