doporučení,Skupina_produkt,Název,Čárkód,Prodejní cena Kč,ks 3-4/2025,ks 3-4/2024,ks_měsíc_prům,obrat_měsíc_prům,marže_%,Stav zásoby (8.4.2025),Dodavatel,Členění
jádro,Elektroinstalační drobný materiál,"zásuvka spojovací GN- 171, bílá",5907570002722,65.0,2.0,6.0,4.0,201.0,53.0,0.0,"MERTLÍK, spol. s r.o.",Drogerie/Elektro/Mertlík
jádro,Elektroinstalační drobný materiál,"Gumová zásuvka černá IP40, 1 ks",3245060504465,137.8,3.0,5.0,4.0,435.0,47.0,12.0,"MERTLÍK, spol. s r.o.",Drogerie/Elektro/Mertlík
jádro,Elektroinstalační drobný materiál,"Svorkovnice 2,5 čokoláda",5905339264305,22.0,6.0,1.0,3.5,63.0,52.0,10.0,"MERTLÍK, spol. s r.o.",Drogerie/Elektro/Mertlík
jádro,Elektroinstalační drobný materiál,strojek 01,1000000008234,61.0,1.0,5.0,3.0,147.0,40.0,7.0,"MERTLÍK, spol. s r.o.",Drogerie/Elektro/Mertlík
jádro,Elektroinstalační drobný materiál,Inst.Spínač 3558 strojek spínače 6-tango schodiště,8595017207495 ,167.0,0.0,6.0,3.0,414.0,47.0,0.0,"MERTLÍK, spol. s r.o.",Drogerie/Elektro/Mertlík
jádro,Elektroinstalační drobný materiál,"Flexo šňůra PVC 2x 0,75mm2 s vypínačem, 2m, černá",8595025321329,73.3,0.0,6.0,3.0,216.0,19.0,2.0,EMOS spol. s r.o.,Drogerie/Elektro/Emos
jádro,Hubení škůdců,Feroset tetra - destičky na moučné moli,8594003330100,16.0,2.0,13.0,7.5,88.0,53.0,101.0,Solvent ČR s.r.o.,Drogerie/Drogerie/PKS
jádro,Hubení škůdců,"Pastička na myši,dřevo Turek",8594021250978,16.0,10.0,4.0,7.0,93.0,94.0,101.0,Petr Turek,Drogerie/Drogerie/Turek
jádro,Hubení škůdců,Molitan SOFT PRO 11 cm náhradní váleček,9002588224701,20.0,7.0,6.0,6.5,106.0,64.0,15.0,Schuller Eh'klar s.r.o.,Drogerie/Technické/Schuller
jádro,Hubení škůdců,Ecostripe mucholapka classic,8594021250565,7.0,0.0,7.0,3.5,20.0,71.0,78.0,Solvent ČR s.r.o.,Drogerie/Drogerie/PKS
jádro,Hubení škůdců,Lepinox Plus 3x10g ,8594028060105,169.0,0.0,7.0,3.5,576.0,25.0,0.0,BIOM s.r.o.,Drogerie/Drogerie/Biom
jádro,Hubení škůdců,Pastička na myši kovová POZINK,8594021251388,22.0,1.0,6.0,3.5,63.0,56.0,14.0,Petr Turek,Drogerie/Drogerie/Turek
jádro,Hubení škůdců,Ratimor granule Bromadiolon 150g,3830050609048,42.0,4.0,3.0,3.5,121.0,46.0,12.0,"BARVY A LAKY HOSTIVAŘ, a.s.",Drogerie/Drogerie/BAL
jádro,Hubení škůdců,Ratimor měkká nástraha 150gr sáček,3830050607891,85.0,4.0,3.0,3.5,246.0,53.0,15.0,ZC s.r.o.,Drogerie/Drogerie/ZC
jádro,Hubení škůdců,PAST na myši s návnadou po kuse,8594053180014,35.0,2.0,4.0,3.0,87.0,52.0,17.0,"M.A.T. Group, s.r.o.",Drogerie/Drogerie/MAT
jádro,Lepicí a maskovací pásky,páska 50m do 90C 25mm TX,9783598216336,59.0,0.0,144.0,72.0,3160.0,144.0,0.0,TAPEX EU s.r.o.,Drogerie/Technické/Tapex
jádro,Lepicí a maskovací pásky,páska 50m do 60C 48mm  2DNY TX,1000000360097,63.0,21.0,0.0,10.5,536.0,141.0,23.0,TAPEX EU s.r.o.,Drogerie/Technické/Tapex
jádro,Lepicí a maskovací pásky,"Solight izolační páska, 15mm x 0,13mm x 10m, černá",5906194000961,12.0,17.0,3.0,10.0,92.0,88.0,23.0,"Solight Holding, s.r.o.",Drogerie/Elektro/Solight
jádro,Lepicí a maskovací pásky,páska 50m do 60C 30mm 2DNY  TX,1000000079807,39.0,11.0,7.0,9.0,282.0,141.0,24.0,TAPEX EU s.r.o.,Drogerie/Technické/Tapex
jádro,Lepicí a maskovací pásky,páska 50m do 60C 25mm 2DNY  TX,1000000010220,37.0,6.0,10.0,8.0,243.0,143.0,48.0,TAPEX EU s.r.o.,Drogerie/Technické/Tapex
jádro,Lepicí a maskovací pásky,Maskovací krepová páska 60°C 50mmx50m RL,8595100102492,76.0,0.0,14.0,7.0,430.0,51.0,0.0,Den Braven Czech and Slovak a.s.,Drogerie/Technické/DEN BRAVEN
jádro,Lepicí a maskovací pásky,páska 50m do 60C 38mm  2DNY TX,1000000009811,56.0,12.0,0.0,6.0,278.0,160.0,20.0,TAPEX EU s.r.o.,Drogerie/Technické/Tapex
jádro,Lepicí a maskovací pásky,"PÁSKA TEFLONOVÁ 0,1X12MM 10M",2000000002439,22.0,5.0,7.0,6.0,108.0,167.0,12.0,"TRIKER, a.s.",Drogerie/Voda/Triker
jádro,Lepicí a maskovací pásky,"Solight izolační páska, 25mm x 0,13mm x 10m, černá",5906194001913,22.0,7.0,5.0,6.0,107.0,105.0,11.0,"Solight Holding, s.r.o.",Drogerie/Elektro/Solight
jádro,Lepicí a maskovací pásky,balící páska BOC 48mm/66m,9002588457291,55.0,2.0,9.0,5.5,247.0,44.0,8.0,Schuller Eh'klar s.r.o.,Drogerie/Technické/Schuller
jádro,Lepicí a maskovací pásky,Lepící páska 50x50  univerzální Duck tapex TX,2000000096353,145.0,8.0,1.0,4.5,453.0,101.0,4.0,TAPEX EU s.r.o.,Drogerie/Technické/Tapex
jádro,Lepicí a maskovací pásky,Izolační páska hnědá,5906194000947,12.0,5.0,3.0,4.0,40.0,76.0,11.0,"MERTLÍK, spol. s r.o.",Drogerie/Elektro/Mertlík
jádro,Lepicí a maskovací pásky,"Pásky vázací, 300 x 4,8 mm, 50 ks, bílá",8590804042419,59.0,7.0,1.0,4.0,195.0,107.0,5.0,EURO NÁŘADÍ s.r.o.,Drogerie/Technické/Euronářadí
jádro,Lepicí a maskovací pásky,"Pásky vázací, 200 x 3,6 mm, 50 ks, černá (123951)",8590804015826,43.0,3.0,4.0,3.5,124.0,192.0,9.0,EURO NÁŘADÍ s.r.o.,Drogerie/Technické/Euronářadí
jádro,Lepicí a maskovací pásky,"Pásky vázací, 500 x 7,6 mm, 50ks, bílá",8590804042457,149.0,6.0,1.0,3.5,435.0,73.0,9.0,EURO NÁŘADÍ s.r.o.,Drogerie/Technické/Euronářadí
jádro,Lepicí a maskovací pásky,TX páska fasádní oranžová bez UV 50m 50mm ,1000000009842,175.0,5.0,2.0,3.5,473.0,171.0,22.0,TAPEX EU s.r.o.,Drogerie/Technické/Tapex
jádro,Lepicí a maskovací pásky,"Solight izolační páska, 15mm x 0,13mm x 10m, červená",5906194000923,12.0,7.0,0.0,3.5,34.0,76.0,5.0,"Solight Holding, s.r.o.",Drogerie/Elektro/Solight
jádro,Lepicí a maskovací pásky,"Páska X-WAY pro 48mm, 10m stříbrná",9002588457796,57.0,2.0,4.0,3.0,139.0,52.0,2.0,Schuller Eh'klar s.r.o.,Drogerie/Technické/Schuller
jádro,Lepicí a maskovací pásky,"Pásky vázací, 300 x 4,8 mm, 50ks, černá",8590804042341,59.0,6.0,0.0,3.0,146.0,112.0,1.0,EURO NÁŘADÍ s.r.o.,Drogerie/Technické/Euronářadí
jádro,Lepicí a maskovací pásky,Lepicí páska / Izolepa 48mmx66 Transparent CZ-SK-HU-SI,8595100123923,39.0,0.0,6.0,3.0,97.0,130.0,0.0,Den Braven Czech and Slovak a.s.,Drogerie/Technické/DEN BRAVEN
jádro,"Lepidla, tmely, silikony, PU pěny",MAMUT GLUE (High tack) 290ml bílý,8595100116659,199.0,29.0,23.0,26.0,4212.0,46.0,15.0,Den Braven Czech and Slovak a.s.,Drogerie/Technické/DEN BRAVEN
jádro,"Lepidla, tmely, silikony, PU pěny",Univerzální silikon 280ml transparent SL,8595100110893,149.0,6.0,11.0,8.5,1028.0,87.0,9.0,Den Braven Czech and Slovak a.s.,Drogerie/Technické/DEN BRAVEN
jádro,"Lepidla, tmely, silikony, PU pěny",Pattex pěna 500ml control+ 1+1,9000101134209,169.0,6.0,6.0,6.0,455.0,366.0,8.0,Solvent ČR s.r.o.,Drogerie/Technické/PKS
jádro,"Lepidla, tmely, silikony, PU pěny",MAMUT GLUE (High tack) 290ml černý,8595100120083,199.0,5.0,6.0,5.5,891.0,42.0,10.0,Den Braven Czech and Slovak a.s.,Drogerie/Technické/DEN BRAVEN
jádro,"Lepidla, tmely, silikony, PU pěny",Brous. tmel na dř. 250 g - smrk RL,8595100111821,62.0,5.0,5.0,5.0,247.0,60.0,6.0,Den Braven Czech and Slovak a.s.,Drogerie/Technické/DEN BRAVEN
jádro,"Lepidla, tmely, silikony, PU pěny",Mamut glue 25ml bílá,8595100126870,75.0,6.0,4.0,5.0,304.0,48.0,6.0,Den Braven Czech and Slovak a.s.,Drogerie/Technické/DEN BRAVEN
jádro,"Lepidla, tmely, silikony, PU pěny",Akryl Exteriér 310ml bílý,8595100108234,95.0,6.0,3.0,4.5,342.0,69.0,6.0,Den Braven Czech and Slovak a.s.,Drogerie/Technické/DEN BRAVEN
jádro,"Lepidla, tmely, silikony, PU pěny",Sanitární silikon 280ml bílý SL,8595100109781,159.0,7.0,2.0,4.5,591.0,83.0,13.0,Den Braven Czech and Slovak a.s.,Drogerie/Technické/DEN BRAVEN
jádro,"Lepidla, tmely, silikony, PU pěny",Nízkoexpanzní pěna pistolová 750ml Green Line,8595100159335,179.0,5.0,4.0,4.5,645.0,79.0,10.0,Den Braven Czech and Slovak a.s.,Drogerie/Technické/DEN BRAVEN
jádro,"Lepidla, tmely, silikony, PU pěny",Aplikační špička  na kartuše 5ks PERDIX,8591256049322,44.0,7.0,1.0,4.0,144.0,76.0,0.0,DISTRIMO s.r.o.,Drogerie/Technické/Distrimo
jádro,"Lepidla, tmely, silikony, PU pěny","Tmel 250 skelné vlákno,750g",5203473250629,229.0,4.0,4.0,4.0,721.0,59.0,2.0,"BODY COLOR, s.r.o.",Drogerie/Technické/BODY
jádro,"Lepidla, tmely, silikony, PU pěny",Montážní pěna trubičková 750ml SL NEW,8595100105707,169.0,5.0,3.0,4.0,559.0,74.0,16.0,Den Braven Czech and Slovak a.s.,Drogerie/Technické/DEN BRAVEN
jádro,"Lepidla, tmely, silikony, PU pěny",MAMUT GLUE CRYSTAL 290ml transparent,8595100145369,235.0,4.0,4.0,4.0,748.0,61.0,3.0,Den Braven Czech and Slovak a.s.,Drogerie/Technické/DEN BRAVEN
jádro,"Lepidla, tmely, silikony, PU pěny",MAMUT GLUE MULTI 290ml šedý,8595100155603,221.0,2.0,6.0,4.0,701.0,47.0,9.0,Den Braven Czech and Slovak a.s.,Drogerie/Technické/DEN BRAVEN
jádro,"Lepidla, tmely, silikony, PU pěny",Těsnící guma K profil 9mmx6m hnědý,8595100141361,93.0,7.0,0.0,3.5,261.0,70.0,-1.0,Den Braven Czech and Slovak a.s.,Drogerie/Technické/DEN BRAVEN
jádro,"Lepidla, tmely, silikony, PU pěny",Lehčený brousitelný tmel QUALY FILL 500ml,8595100153166,149.0,2.0,5.0,3.5,417.0,50.0,3.0,Den Braven Czech and Slovak a.s.,Drogerie/Technické/DEN BRAVEN
jádro,"Lepidla, tmely, silikony, PU pěny",Akrylový tmel 310ml bílý RL,8711595025959,73.0,0.0,7.0,3.5,203.0,85.0,6.0,Den Braven Czech and Slovak a.s.,Drogerie/Technické/DEN BRAVEN
jádro,"Lepidla, tmely, silikony, PU pěny",Akrylový štukový tmel 310ml bílý RL,8711595028707,125.0,3.0,4.0,3.5,362.0,87.0,10.0,Den Braven Czech and Slovak a.s.,Drogerie/Technické/DEN BRAVEN
jádro,"Lepidla, tmely, silikony, PU pěny",Sanitární silikon 280ml transparetní SL,8595100109774,159.0,2.0,5.0,3.5,460.0,74.0,2.0,Den Braven Czech and Slovak a.s.,Drogerie/Technické/DEN BRAVEN
jádro,"Lepidla, tmely, silikony, PU pěny",Loctite gel vteřinové 2 gr,9000100223386,59.0,5.0,2.0,3.5,171.0,39.0,6.0,Petr Zachař,Drogerie/Technické/Zachař
jádro,"Lepidla, tmely, silikony, PU pěny",MAMUT GLUE TOTAL 290ml white,8595100145352,249.0,2.0,5.0,3.5,710.0,56.0,5.0,Den Braven Czech and Slovak a.s.,Drogerie/Technické/DEN BRAVEN
jádro,"Lepidla, tmely, silikony, PU pěny",Lepidlo ve spreji na bázi butylu 400ml,8595100159410,289.0,6.0,1.0,3.5,830.0,72.0,8.0,Den Braven Czech and Slovak a.s.,Drogerie/Technické/DEN BRAVEN
jádro,"Lepidla, tmely, silikony, PU pěny",Těsnící guma D profil 9mmx6m HNĚDÁ,8595100141408,99.0,3.0,3.0,3.0,237.0,56.0,-2.0,Den Braven Czech and Slovak a.s.,Drogerie/Technické/DEN BRAVEN
jádro,"Lepidla, tmely, silikony, PU pěny",LEPIDLO PVC NOVOLEP 130ML (TUBA),8585043210507,69.0,3.0,3.0,3.0,171.0,50.0,6.0,"TRIKER, a.s.",Drogerie/Voda/Triker
jádro,"Lepidla, tmely, silikony, PU pěny",Akvaristické lepidlo 280ml transp. RL CZ-SK-HU,8711595025997,152.0,2.0,4.0,3.0,612.0,12.0,0.0,Den Braven Czech and Slovak a.s.,Drogerie/Technické/DEN BRAVEN
jádro,"Lepidla, tmely, silikony, PU pěny",Montážní pěna trubičková 750ml Green line,8595100132826,149.0,4.0,2.0,3.0,366.0,74.0,14.0,Den Braven Czech and Slovak a.s.,Drogerie/Technické/DEN BRAVEN
jádro,"Lepidla, tmely, silikony, PU pěny",Loctite Super Bond 3 g ,9000100072441,53.0,3.0,3.0,3.0,131.0,54.0,12.0,Petr Zachař,Drogerie/Technické/Zachař
jádro,"Lepidla, tmely, silikony, PU pěny",Herkules - univerzální disperzní lepidlo 130 gr,8594825008553,63.0,3.0,3.0,3.0,156.0,67.0,3.0,Solvent ČR s.r.o.,Drogerie/Technické/PKS
jádro,"Lepidla, tmely, silikony, PU pěny",Chemporén Transparent 50 ml,8585000341022,75.0,3.0,3.0,3.0,203.0,33.0,8.0,Solvent ČR s.r.o.,Drogerie/Technické/PKS
jádro,"Lepidla, tmely, silikony, PU pěny",Mamut Glue CLEAR UV Exteriér 290 ml,8595100174963,259.0,6.0,0.0,3.0,642.0,54.0,11.0,Den Braven Czech and Slovak a.s.,Drogerie/Technické/DEN BRAVEN
jádro,"Malířské potřeby (štětce, válečky, fólie, brusivo)",Folie 4x5m TARGET zakrývací ,9002588458007,25.0,22.0,104.0,63.0,1197.0,72.0,51.0,Schuller Eh'klar s.r.o.,Drogerie/Technické/Schuller
jádro,"Malířské potřeby (štětce, válečky, fólie, brusivo)",Nopová folie 400g 1m/20m,8595100132239,49.0,28.0,15.5,21.8,836.0,149.0,0.0,Den Braven Czech and Slovak a.s.,Drogerie/Technické/DEN BRAVEN
jádro,"Malířské potřeby (štětce, válečky, fólie, brusivo)","Nopová folie 400g 0,5m/20m",8595100132413,26.0,37.0,0.0,18.5,398.0,154.0,0.0,Den Braven Czech and Slovak a.s.,Drogerie/Technické/DEN BRAVEN
jádro,"Malířské potřeby (štětce, válečky, fólie, brusivo)","Zakrývací plachta 4x12,5 M ",9002588458021,55.0,0.0,32.0,16.0,659.0,58.0,0.0,Schuller Eh'klar s.r.o.,Drogerie/Technické/Schuller
jádro,"Malířské potřeby (štětce, válečky, fólie, brusivo)",Brusné plátno 80,9002588657073,17.0,5.0,25.0,15.0,208.0,53.0,7.0,Schuller Eh'klar s.r.o.,Drogerie/Technické/Schuller
jádro,"Malířské potřeby (štětce, válečky, fólie, brusivo)",Štětec plochý TOP Q 40 mm žlutý ,9002588723433,31.0,9.0,20.0,14.5,365.0,82.0,9.0,Schuller Eh'klar s.r.o.,Drogerie/Technické/Schuller
jádro,"Malířské potřeby (štětce, válečky, fólie, brusivo)","Nopová folie 400g 1,5m/20m",8595100132246,69.0,0.0,26.0,13.0,713.0,-89.0,0.0,Den Braven Czech and Slovak a.s.,Drogerie/Technické/DEN BRAVEN
jádro,"Malířské potřeby (štětce, válečky, fólie, brusivo)",Štětec plochý TOP Q 50 mm žlutý ,9002588723440,43.0,9.0,13.0,11.0,386.0,83.0,10.0,Schuller Eh'klar s.r.o.,Drogerie/Technické/Schuller
jádro,"Malířské potřeby (štětce, válečky, fólie, brusivo)",Brusné plátno č.120,9002588657097,17.0,6.0,16.0,11.0,152.0,53.0,139.0,Schuller Eh'klar s.r.o.,Drogerie/Technické/Schuller
jádro,"Malířské potřeby (štětce, válečky, fólie, brusivo)",Brusný papír 600 pod vodu,9002588650197,15.0,17.0,4.0,10.5,128.0,96.0,13.0,Schuller Eh'klar s.r.o.,Drogerie/Technické/Schuller
jádro,"Malířské potřeby (štětce, válečky, fólie, brusivo)",Brusný papír 800 pod vodu,9002588650203,15.0,14.0,5.0,9.5,115.0,96.0,12.0,Schuller Eh'klar s.r.o.,Drogerie/Technické/Schuller
jádro,"Malířské potřeby (štětce, válečky, fólie, brusivo)",Váleček velvet 10cm,9002588200408,22.0,5.0,14.0,9.5,161.0,65.0,8.0,Schuller Eh'klar s.r.o.,Drogerie/Technické/Schuller
jádro,"Malířské potřeby (štětce, válečky, fólie, brusivo)",Brusné plátno 60,9002588657066,17.0,12.0,6.0,9.0,109.0,53.0,26.0,Schuller Eh'klar s.r.o.,Drogerie/Technické/Schuller
jádro,"Malířské potřeby (štětce, válečky, fólie, brusivo)",Folie okenní 3ks 240x184mm zvířata,8592001361126,47.0,0.0,18.0,9.0,102.0,45.0,3.0,Solvent ČR s.r.o.,Drogerie/Drogerie/PKS
jádro,"Malířské potřeby (štětce, válečky, fólie, brusivo)",Umělecký štětec 14,9002588750262,25.0,12.0,5.0,8.5,174.0,70.0,11.0,Schuller Eh'klar s.r.o.,Drogerie/Technické/Schuller
jádro,"Malířské potřeby (štětce, válečky, fólie, brusivo)",Štětec plochý TOP Q 30 mm žlutý ,9002588723426,28.0,2.0,15.0,8.5,193.0,84.0,3.0,Schuller Eh'klar s.r.o.,Drogerie/Technické/Schuller
jádro,"Malířské potřeby (štětce, válečky, fólie, brusivo)",Brusné plátno 40,9002588657042,17.0,5.0,11.0,8.0,101.0,53.0,46.0,Schuller Eh'klar s.r.o.,Drogerie/Technické/Schuller
jádro,"Malířské potřeby (štětce, válečky, fólie, brusivo)",Brusný papír 5xK40-400 1ks,9002588634500,10.0,16.0,0.0,8.0,66.0,71.0,25.0,Schuller Eh'klar s.r.o.,Drogerie/Technické/Schuller
jádro,"Malířské potřeby (štětce, válečky, fólie, brusivo)",Brusné plátno 100,9002588657080,17.0,7.0,9.0,8.0,112.0,53.0,109.0,Schuller Eh'klar s.r.o.,Drogerie/Technické/Schuller
jádro,"Malířské potřeby (štětce, válečky, fólie, brusivo)",Brusné plátno 180,9002588657110,17.0,13.0,2.0,7.5,104.0,53.0,75.0,Schuller Eh'klar s.r.o.,Drogerie/Technické/Schuller
jádro,"Malířské potřeby (štětce, válečky, fólie, brusivo)",Váleček polyamid 100 mm ,9002588212104,24.0,7.0,8.0,7.5,138.0,56.0,1.0,Schuller Eh'klar s.r.o.,Drogerie/Technické/Schuller
jádro,"Malířské potřeby (štětce, válečky, fólie, brusivo)",Folie 4x5m zakrývací  Bal.,8591235040821,25.0,0.0,14.0,7.0,143.0,158.0,0.0,"BARVY A LAKY HOSTIVAŘ, a.s.",Drogerie/Technické/BAL
jádro,"Malířské potřeby (štětce, válečky, fólie, brusivo)",Waterproof P 2000 - brusný papír pod vodu arch,1000000008142,15.0,9.0,5.0,7.0,87.0,95.0,44.0,"BODY COLOR, s.r.o.",Drogerie/Technické/BODY
jádro,"Malířské potřeby (štětce, válečky, fólie, brusivo)","Fólie zakrývací HDPE 4x5m, 0,010mm, skládaná",4013307101499,49.0,13.0,0.0,6.5,258.0,153.0,34.0,Ciret s.r.o.,Drogerie/Technické/Ciret
jádro,"Malířské potřeby (štětce, válečky, fólie, brusivo)",brusný papír 175 zrnitost 80,9002588644073,12.0,4.0,8.0,6.0,58.0,119.0,57.0,Schuller Eh'klar s.r.o.,Drogerie/Technické/Schuller
